DATE,WDDNS
1985-08-12,257.1
1985-08-19,257.6
1985-08-26,251.1
1985-09-02,254.5
1985-09-09,264.6
1985-09-16,263.4
1985-09-23,254.1
1985-09-30,261.0
1985-10-07,265.8
1985-10-14,262.3
1985-10-21,262.4
1985-10-28,254.6
1985-11-04,263.3
1985-11-11,262.3
1985-11-18,266.3
1985-11-25,262.5
1985-12-02,270.5
1985-12-09,272.5
1985-12-16,274.7
1985-12-23,276.5
1985-12-30,280.6
1986-01-06,292.5
1986-01-13,276.1
1986-01-20,267.9
1986-01-27,257.9
1986-02-03,258.6
1986-02-10,259.6
1986-02-17,257.9
1986-02-24,255.9
1986-03-03,259.4
1986-03-10,264.2
1986-03-17,263.9
1986-03-24,259.2
1986-03-31,263.5
1986-04-07,277.0
1986-04-14,276.2
1986-04-21,276.4
1986-04-28,269.2
1986-05-05,275.0
1986-05-12,272.9
1986-05-19,274.1
1986-05-26,265.6
1986-06-02,276.7
1986-06-09,283.9
1986-06-16,284.1
1986-06-23,275.8
1986-06-30,279.0
1986-07-07,292.0
1986-07-14,289.5
1986-07-21,284.1
1986-07-28,276.8
1986-08-04,285.3
1986-08-11,286.0
1986-08-18,287.2
1986-08-25,278.4
1986-09-01,282.4
1986-09-08,292.5
1986-09-15,289.7
1986-09-22,281.8
1986-09-29,279.2
1986-10-06,292.2
1986-10-13,287.2
1986-10-20,290.2
1986-10-27,281.9
1986-11-03,291.1
1986-11-10,294.5
1986-11-17,296.3
1986-11-24,288.4
1986-12-01,302.4
1986-12-08,304.8
1986-12-15,306.5
1986-12-22,312.9
1986-12-29,322.6
1987-01-05,342.6
1987-01-12,313.1
1987-01-19,300.4
1987-01-26,288.3
1987-02-02,290.9
1987-02-09,290.9
1987-02-16,287.0
1987-02-23,284.1
1987-03-02,285.3
1987-03-09,289.8
1987-03-16,288.0
1987-03-23,282.6
1987-03-30,283.7
1987-04-06,299.1
1987-04-13,299.5
1987-04-20,309.3
1987-04-27,297.7
1987-05-04,298.0
1987-05-11,294.6
1987-05-18,296.0
1987-05-25,288.0
1987-06-01,295.4
1987-06-08,298.9
1987-06-15,297.1
1987-06-22,291.0
1987-06-29,286.7
1987-07-06,306.7
1987-07-13,297.1
1987-07-20,293.3
1987-07-27,285.1
1987-08-03,290.6
1987-08-10,293.3
1987-08-17,293.5
1987-08-24,285.9
1987-08-31,286.2
1987-09-07,291.9
1987-09-14,294.3
1987-09-21,286.9
1987-09-28,281.1
1987-10-05,299.6
1987-10-12,291.3
1987-10-19,297.5
1987-10-26,294.4
1987-11-02,295.0
1987-11-09,296.9
1987-11-16,295.0
1987-11-23,289.5
1987-11-30,292.2
1987-12-07,297.1
1987-12-14,295.7
1987-12-21,296.9
1987-12-28,298.5
1988-01-04,315.1
1988-01-11,304.9
1988-01-18,296.0
1988-01-25,284.5
1988-02-01,282.9
1988-02-08,282.6
1988-02-15,278.7
1988-02-22,277.8
1988-02-29,274.2
1988-03-07,281.4
1988-03-14,281.2
1988-03-21,279.3
1988-03-28,274.3
1988-04-04,291.9
1988-04-11,293.6
1988-04-18,294.5
1988-04-25,289.3
1988-05-02,285.4
1988-05-09,284.8
1988-05-16,285.6
1988-05-23,278.6
1988-05-30,277.8
1988-06-06,295.1
1988-06-13,291.9
1988-06-20,292.3
1988-06-27,283.0
1988-07-04,297.2
1988-07-11,301.1
1988-07-18,293.6
1988-07-25,285.0
1988-08-01,288.5
1988-08-08,292.9
1988-08-15,291.9
1988-08-22,286.6
1988-08-29,281.3
1988-09-05,290.4
1988-09-12,292.0
1988-09-19,288.6
1988-09-26,278.7
1988-10-03,290.0
1988-10-10,290.4
1988-10-17,292.7
1988-10-24,282.3
1988-10-31,284.3
1988-11-07,290.3
1988-11-14,290.5
1988-11-21,288.2
1988-11-28,288.8
1988-12-05,297.0
1988-12-12,296.6
1988-12-19,297.3
1988-12-26,293.4
1989-01-02,310.4
1989-01-09,304.6
1989-01-16,292.3
1989-01-23,282.7
1989-01-30,274.8
1989-02-06,280.9
1989-02-13,275.6
1989-02-20,274.9
1989-02-27,269.9
1989-03-06,281.1
1989-03-13,275.7
1989-03-20,275.0
1989-03-27,270.9
